CD_setor;V01006;V01007;V01008;V01009;V01010;V01011;V01012;V01013;V01014;V01015;V01016;V01017;V01018;V01019;V01020;V01021;V01022;V01023;V01024;V01025;V01026;V01027;V01028;V01029;V01030;V01031;V01032;V01033;V01034;V01035;V01036;V01037;V01038;V01039;V01040;V01041
352440205000235;289;155;134;9;3;6;12;10;8;15;23;33;21;15;X;11;5;7;15;4;19;20;23;16;12;11;14;11;19;25;12;34;43;56;37;27
352440205000236;416;221;195;10;15;14;15;12;15;29;24;39;34;14;11;12;12;14;12;17;25;34;29;20;9;21;27;26;29;24;32;54;58;68;54;23
352440205000237;472;254;218;10;14;14;11;17;11;34;34;38;41;30;17;12;17;10;14;12;27;31;38;23;17;27;26;31;21;31;23;61;65;76;64;47
352440205000239;196;109;87;5;8;15;3;11;7;13;17;12;14;4;0;8;6;4;5;9;17;17;11;10;0;5;16;21;7;16;16;30;34;23;24;4
352440205000242;50;22;28;X;0;X;0;X;3;X;X;5;5;X;X;X;0;X;X;0;5;4;6;4;5;X;X;X;X;3;3;7;5;11;9;7
352440205000243;269;113;156;5;X;X;8;9;9;13;14;20;15;17;5;5;X;12;6;10;17;20;25;28;26;10;7;3;20;15;19;30;34;45;43;43
352440205000245;177;67;110;3;X;3;4;6;7;11;10;11;5;5;6;X;5;5;8;5;13;13;17;17;19;9;4;8;9;14;12;24;23;28;22;24
352440205000246;46;22;24;0;0;0;X;0;4;X;4;X;4;4;0;X;0;X;X;0;X;4;3;7;5;0;X;0;3;X;4;3;8;5;11;9
352440205000250;210;85;125;3;4;X;X;3;4;13;23;9;9;13;3;7;4;4;9;6;13;18;16;13;32;6;11;6;6;12;10;26;41;25;22;45
352440205000253;292;125;167;3;8;10;11;9;7;16;18;22;8;13;6;8;5;11;7;10;18;27;24;20;31;9;16;15;22;16;17;34;45;46;28;44
352440205000256;311;152;159;5;10;5;14;8;7;22;20;17;23;21;8;7;4;8;8;8;19;13;18;32;34;13;17;9;22;16;15;41;33;35;55;55
352440205000257;418;194;224;5;4;7;10;10;15;24;28;33;25;33;3;8;19;8;15;13;22;30;44;31;31;8;12;26;18;25;28;46;58;77;56;64
352440205000259;344;166;178;9;7;10;10;8;16;17;22;29;19;19;7;8;8;7;14;9;20;27;25;21;32;16;15;18;17;22;25;37;49;54;40;51
352440205000260;141;71;70;X;5;4;6;4;6;9;8;12;9;6;X;X;X;4;X;4;11;10;12;10;11;4;7;6;10;6;10;20;18;24;19;17
352440205000263;388;178;210;7;11;11;13;11;11;18;26;25;22;23;9;11;16;9;8;7;24;31;42;20;33;16;22;27;22;19;18;42;57;67;42;56
352440205000267;233;123;110;7;8;11;7;14;11;19;15;13;10;8;8;5;3;8;5;13;13;17;14;13;11;15;13;14;15;19;24;32;32;27;23;19
352440205000271;647;327;320;26;29;27;27;23;24;40;54;42;29;6;22;23;17;24;18;33;46;56;38;30;13;48;52;44;51;41;57;86;110;80;59;19
352440205000274;211;103;108;8;5;9;11;8;4;16;11;12;12;7;6;13;9;7;8;8;15;16;9;8;9;14;18;18;18;16;12;31;27;21;20;16
